TAXA_1,TAXA_2,TAXA_3,TAXA_4,TAXA_5,TAXA_6,TAXA_7,TAXA_8,TAXA_9,TAXA_10
0.0,0.14444,0.136456,0.10752400000000002,0.130708,0.20471600000000004,0.066748,0.136572,0.006287999999999999,0.066548
0.0,0.14412399999999997,0.137568,0.11106,0.13132,0.20406400000000002,0.06628,0.130864,0.00636,0.06836
0.0,0.14663999999999996,0.13512400000000002,0.11006000000000002,0.130756,0.208228,0.06548000000000001,0.13396400000000003,0.007228000000000001,0.06251999999999999
0.0,0.146436,0.13785599999999998,0.112948,0.12564,0.20709999999999998,0.067708,0.135724,0.005915999999999999,0.06067199999999999
0.0,0.15040800000000001,0.134316,0.107412,0.12774,0.20721599999999998,0.07122,0.135188,0.004432,0.062068
0.0,0.14560800000000002,0.141024,0.106872,0.1264,0.209404,0.06736800000000001,0.13631200000000002,0.004784,0.06222799999999999
0.0,0.14440399999999998,0.13111199999999998,0.11171600000000001,0.12544399999999997,0.208632,0.071164,0.139176,0.005364,0.062988
0.0,0.14413199999999998,0.135116,0.11479999999999999,0.12274800000000001,0.20495599999999997,0.06556399999999998,0.14116800000000002,0.00424,0.067276
0.0,0.145036,0.136432,0.108304,0.126704,0.206588,0.066208,0.142596,0.00512,0.063012
0.0,0.152364,0.134864,0.11237999999999997,0.12918400000000002,0.209104,0.06208399999999999,0.13643999999999998,0.00402,0.05955999999999999
0.0,0.14286400000000002,0.13034,0.11597199999999999,0.1285,0.21048399999999998,0.064704,0.13903600000000002,0.0043360000000000004,0.063764
0.0,0.147524,0.133564,0.11883600000000001,0.124692,0.205608,0.063104,0.136632,0.00454,0.0655
0.0,0.143184,0.132944,0.11288799999999999,0.126524,0.21095199999999997,0.06404,0.143924,0.003996,0.061548000000000005
0.0,0.1462,0.135108,0.11676,0.12428399999999999,0.21200000000000002,0.06082,0.140612,0.0030960000000000002,0.061119999999999994
0.061708,0.138156,0.118192,0.10559199999999999,0.123584,0.19884799999999997,0.059544,0.13330799999999998,0.004232,0.056836
0.066496,0.141844,0.120484,0.10718399999999999,0.116764,0.20214399999999996,0.056636,0.12902,0.0023,0.057128
0.068712,0.13312,0.12419200000000001,0.10800000000000001,0.11850000000000001,0.19690800000000003,0.052776,0.13634400000000002,0.003148,0.058300000000000005
0.07454400000000001,0.137048,0.11744400000000002,0.10787999999999998,0.11506400000000001,0.19992000000000001,0.06055600000000001,0.12976400000000002,0.0026639999999999997,0.055116
0.081784,0.13432,0.11900799999999997,0.11040799999999999,0.117824,0.194472,0.055576,0.12832399999999997,0.00298,0.055304
0.08084,0.13374400000000003,0.118004,0.10704799999999999,0.11007199999999999,0.197272,0.062063999999999994,0.13095600000000002,0.002212,0.05778799999999999
0.087444,0.133824,0.11980000000000002,0.10341999999999998,0.11535999999999999,0.199232,0.054164000000000004,0.129108,0.00226,0.05538800000000001
0.09302800000000001,0.139316,0.120476,0.10582799999999999,0.115676,0.190744,0.057072,0.12109999999999999,0.0015800000000000002,0.05518000000000001
0.101352,0.133968,0.113932,0.102244,0.110744,0.19778400000000002,0.055487999999999996,0.127088,0.001592,0.055808
0.096304,0.13540000000000002,0.11201999999999998,0.108676,0.111352,0.195996,0.060248,0.122564,0.002084,0.055356
